PlcIndex,ClstRad270,ClstRad220,ClstRad170,ClstRad120,ClstRad70,ClstRad20
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,1,1,1,NA,NA,NA
4,1,1,1,NA,NA,NA
4,1,1,1,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,2,2,NA,NA,NA,NA
6,2,2,NA,NA,NA,NA
7,2,2,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,3,3,2,1,NA,NA
16,3,3,2,1,1,NA
17,3,3,2,1,1,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,4,4,3,NA,NA,NA
21,4,4,3,NA,NA,NA
22,5,5,4,NA,NA,NA
23,5,5,4,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
35,6,6,6,3,NA,NA
35,6,6,6,3,NA,NA
36,7,7,7,4,NA,NA
36,7,7,7,4,NA,NA
37,7,7,7,4,NA,NA
38,7,7,7,NA,NA,NA
38,7,7,7,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,6,6,5,2,NA,NA
43,6,6,5,2,NA,NA
44,6,NA,NA,NA,NA,NA
45,6,6,6,3,NA,NA
46,6,6,6,3,NA,NA
51,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA
